 2.95000000e+02 4.66999987e-04 1.16824371e-10 2.01872954e-12 5.44462786e-01
 3.07800000e+02 4.66991451e-04 7.72667783e-08 1.07871440e-09 5.83897196e-01
 3.20550000e+02 4.66943688e-04 5.08943017e-07 4.68717363e-09 6.62612699e-01
 3.33850000e+02 4.66679505e-04 2.89662177e-06 5.20996914e-09 1.08856541e+00
 3.47700000e+02 4.64302926e-04 2.43755261e-05 5.29661614e-09 2.26499261e+00
 3.62100000e+02 4.51304573e-04 1.41834936e-04 5.28673763e-09 4.14518207e+00
 3.77100000e+02 3.98893905e-04 6.15163315e-04 5.28632895e-09 6.77648651e+00
 3.92750000e+02 2.60710065e-04 1.86097599e-03 5.28632891e-09 9.80469829e+00
 4.09050000e+02 1.30599481e-04 3.03116749e-03 5.28632891e-09 1.15268993e+01
 4.26000000e+02 1.54038655e-04 2.82056239e-03 5.27724867e-09 1.11593732e+01
 4.43650000e+02 2.29893490e-04 2.13838299e-03 4.13083356e-09 1.07283867e+01
 4.62050000e+02 3.25035728e-04 1.28142704e-03 1.36507663e-09 1.29199413e+01
 4.81000000e+02 4.49426689e-04 1.58802124e-04 8.13859422e-11 1.63838251e+01
 5.00000000e+02 4.66999999e-04 4.76494516e-12 1.79464493e-18 1.68882659e+01
 5.20000000e+02 4.67000000e-04 2.78055400e-17 4.36368811e-24 2.45628456e+01
