 2.95000000e+02 4.66964521e-04 4.66992841e-04 4.66996933e-04
 3.07800000e+02 4.66963224e-04 4.66993807e-04 4.66997587e-04
 3.20550000e+02 4.66971335e-04 4.66996200e-04 4.66998692e-04
 3.33850000e+02 4.66814598e-04 4.66977786e-04 4.66992732e-04
 3.47700000e+02 4.65655201e-04 4.66841693e-04 4.66948613e-04
 3.62100000e+02 4.59741048e-04 4.66145296e-04 4.66722927e-04
 3.77100000e+02 4.35038723e-04 4.63116031e-04 4.65737345e-04
 3.92750000e+02 3.54612246e-04 4.51468972e-04 4.61887919e-04
 4.09050000e+02 2.08424216e-04 4.13690279e-04 4.48628854e-04
 4.26000000e+02 1.54439445e-04 3.27387684e-04 4.11263029e-04
 4.43650000e+02 1.92376062e-04 2.47710809e-04 3.42795454e-04
 4.62050000e+02 2.86847277e-04 2.83677072e-04 3.13489890e-04
 4.81000000e+02 4.04775729e-04 4.03732963e-04 4.04828272e-04
 5.00000000e+02 4.67209917e-04 4.54839416e-04 4.63333698e-04
 5.20000000e+02 4.67209917e-04 4.67136058e-04 4.67072861e-04
