0.56277,-2.7973
0.72987,-2.8719
3.6225,-3.8565
4.6958,-4.1321
5.7047,-4.3388
7.3949,-4.6143
9.48,-5.0236
11.028,-5.229
13.826,-5.8386
23.915,-7.8646
29.303,-9.0095
39.912,-11.2296
46.301,-12.5739
53.722,-13.8513
56.63,-14.4558
64.977,-15.8669
78.578,-17.9494
89.172,-19.4272
108.89,-21.979
123.57,-23.4567
165.84,-27.2844
190.25,-28.7624
222.89,-30.5091
258.57,-31.8534
296.73,-33.1975
355.85,-34.2748
431.39,-35.3524
540.78,-36.029
663.16,-36.839
684.63,-37.1079
859.22,-37.3155
1114,-37.5241
1461,-37.465
1874.4,-37.5392
